"Date","Montant EUR","Description","N°/Type","Mémo","Compte","Catégorie","Pointé","Labels"
"14/10/2014","-40.00","Dressing (pour boire)","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","mains d'oeuvres"
"14/10/2014","-50.00","Carburant","","","> Dépenses> Auto> Essence","> Actifs> Porte-monnaie","NON",""
"14/10/2014","-17.00","3x decapant","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Matos;plomberie"
"13/10/2014","-5.00","Café","","","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON",""
"11/10/2014","-13.00","2x silicon","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Matos;plomberie"
"10/10/2014","-5.00","Café","","","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON",""
"08/10/2014","-5.00","Café","","","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON",""
"07/10/2014","-150.00","Main d'oeuvre: Peintre","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Peintre"
"02/10/2014","400.00","DAB CACS AB","","","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"02/10/2014","400.00","DAB CACS AB","","","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"02/10/2014","300.00","DAB CACS AB","","","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"02/10/2014","-1100.00","Chambre à coucher (complement)","","","> Actifs> Maison> Mobilier","> Actifs> Porte-monnaie","NON",""
"02/10/2014","-200.00","Main d'oeuvre: Peintre","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Peintre"
"01/10/2014","-5.00","Café","","","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON",""
"30/09/2014","-6.00","Coiffeur","","","> Dépenses> Quotidien> Coiffeur","> Actifs> Porte-monnaie","NON",""
"27/09/2014","-50.00","Main d'oeuvre Electricien: Sofiane","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Electricien"
"22/09/2014","-140.00","Menuisier","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Menuisier"
"21/09/2014","-100.00","Matériel Electricité Sofiene","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","electricité"
"20/09/2014","2300.00","Apport moon","","","> Revenus> apport famille","> Actifs> Porte-monnaie","NON",""
"20/09/2014","-60.00","Transport déchets","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","divers;Ouvrier"
"20/09/2014","-4.00","2x boites étanches","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","electricité"
"19/09/2014","-17.50","7 prises","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","electricité"
"17/09/2014","-35.00","Ghassen","","","> Dépenses> Loisirs> Bar","> Actifs> Porte-monnaie","NON",""
"17/09/2014","-1200.00","Main d'oeuvres travaux: el 3id","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Maçon"
"16/09/2014","-10.00","sw à malibu","","","> Dépenses> Loisirs> Sorties","> Actifs> Porte-monnaie","NON",""
"16/09/2014","-2.00","sable","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","maconnerie;Matos"
"15/09/2014","40.00","Apport moon (Evacuation déchets)","","","> Revenus> apport famille","> Actifs> Porte-monnaie","NON",""
"15/09/2014","-12.00","carreaux joint","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","maconnerie;Matos"
"15/09/2014","4600.00","Apport papa","","","> Revenus> apport famille","> Actifs> Porte-monnaie","NON",""
